Time_Dial;Tripping_Time;Pickup_Multiples
1;6.15204;1.20723
1;1.05904;2.00244
1;0.58533;2.51278
1;0.39368;3.0155
1;0.24639;4.01646
1;0.18838;5.00306
1;0.15532;6.00431
1;0.11783;8.05751
1;0.09975;9.99969
1;0.07622;15.0052
1;0.06623;19.9876
1;0.05832;26.6243
1;0.05614;29.8265
1;0.05425;32.9811
1;0.05343;34.8109
1;0.05253;36.9479
1;0.05173;39.2162
1;0.05134;40.0276
2;15.68;1.18965
2;4.24618;1.74528
2;2.94378;2.00293
2;1.19835;2.73795
2;0.97723;3.00495
2;0.6929;3.61965
2;0.59793;4.00238
2;0.45199;5.00411
2;0.38266;6.00561
2;0.2936;8.05927
2;0.24948;10.0018
2;0.19427;15.0086
2;0.16882;19.992
2;0.14042;30.0001
2;0.13674;32.1995
2;0.1339;34.2399
2;0.13038;37.3016
2;0.1272;40.0362
3;23.4759;1.21664
3;5.28262;2.00321
3;1.57786;3.00529
3;1.19751;3.48779
3;0.99127;4.00286
3;0.75216;5.00471
3;0.61321;6.00628
3;0.47586;8.00038
3;0.4074;10.003
3;0.31367;15.0103
3;0.26951;19.9943
3;0.23151;29.1773
3;0.22329;32.565
3;0.21741;35.6757
3;0.2129;38.6493
3;0.21127;40.0411
4;33.5962;1.1943
4;6.82743;2.00333
4;3.03156;2.63845
4;2.26647;3.00555
4;1.72012;3.5011
4;1.39727;4.00319
4;1.17867;4.5603
4;1.05226;5.00511
4;0.86112;6.00677
4;0.66322;8.00102
4;0.5593;10.0038
4;0.43062;15.0114
4;0.37;19.9958
4;0.30953;29.6724
4;0.29349;33.8028
4;0.28578;36.4163
4;0.28093;38.2938
4;0.27721;39.9692
5;43.4212;1.18993
5;8.72469;2.00345
5;3.93298;2.61904
5;2.92926;3.00574
5;2.18162;3.48829
5;1.75881;4.00341
5;1.32453;5.00539
5;1.09214;6.00711
5;0.83167;8.0313
5;0.82853;8.06127
5;0.69873;10.0043
5;0.53797;15.0122
5;0.46573;19.9969
5;0.39256;30.0075
5;0.37649;33.305
5;0.36521;36.1482
5;0.35901;38.0118
5;0.35291;39.8971
6;55.9101;1.17241
6;10.9823;1.99611
6;4.33792;2.6983
6;3.44514;3.00585
6;2.96205;3.20218
6;2.41531;3.60727
6;2.09211;4.00357
6;1.75151;4.57775
6;1.58746;5.00561
6;1.30401;6.00736
6;1.01576;8.00183
6;0.85338;10.0048
6;0.64719;15.0129
6;0.56241;19.9978
6;0.46865;31.3802
6;0.45374;34.3776
6;0.44181;37.243
6;0.43679;38.728
6;0.43265;39.9734
8;68.5405;1.18564
8;14.5735;2.0037
8;4.30397;3.00601
8;2.74502;4.00383
8;2.10659;5.00594
8;1.75675;6.00779
8;1.35813;8.00239
8;1.15838;10.0055
8;0.89186;15.014
8;0.7663;19.9993
8;0.68379;25.9545
8;0.657;29.2935
8;0.63608;32.5732
8;0.61815;36.0184
8;0.61112;37.6644
8;0.60414;39.9023
10;85.3053;1.1813
10;17.5987;2.00379
10;8.5881;2.54263
10;6.61798;2.81141
10;5.71143;3.00621
10;4.60499;3.33643
10;3.49462;4.00406
10;2.66169;5.00622
10;2.21131;6.00812
10;1.7225;8.00284
10;1.46362;10.0061
10;1.12263;15.0149
10;0.96823;20.0004
10;0.81613;29.6793
10;0.78562;33.8108
10;0.77079;36.0874
10;0.76201;37.8069
10;0.7519;39.9787
